Name,Quadrant,Ring,IsNew,Description
C#,Languages,ADOPT,FALSE,
VB6,Languages,HOLD,FALSE,
VB.NET,Languages,HOLD,FALSE,
JavaScript,Languages,ADOPT,FALSE,
TypeScript,Languages,ADOPT,FALSE,
Powershell,Languages,ADOPT,FALSE,
TSQL,Languages,ADOPT,FALSE,
PLSQL,Languages,TRIAL,FALSE,
CSS,Languages,ADOPT,FALSE,
Phyton,Languages,ASSESS,FALSE,
Java,Languages,HOLD,FALSE,
.NET 4.7.1,Frameworks & Libraries,ADOPT,FALSE,
.NET Core 2.x,Frameworks & Libraries,HOLD,FALSE,
.NET Core 3,Frameworks & Libraries,HOLD,FALSE,
.NET Core 5,Frameworks & Libraries,HOLD,FALSE,
.NET Core 6,Frameworks & Libraries,TRIAL,FALSE,
Web Forms,Frameworks & Libraries,HOLD,FALSE,
Win Forms,Frameworks & Libraries,HOLD,FALSE,
ASP.NET Core MVC,Frameworks & Libraries,ADOPT,FALSE,
.NET Web API,Frameworks & Libraries,ADOPT,FALSE,
Node.js,Frameworks & Libraries,ASSESS,FALSE,
jQuery,Frameworks & Libraries,ADOPT,FALSE,
React,Frameworks & Libraries,ADOPT,FALSE,
Redux,Frameworks & Libraries,ADOPT,FALSE,
Backbone JS,Frameworks & Libraries,ADOPT,FALSE,
MaterialUI,Frameworks & Libraries,ADOPT,FALSE,
Fountadtion  (less),Frameworks & Libraries,ADOPT,FALSE,
Kendo UI,Frameworks & Libraries,HOLD,FALSE,
Robot Framwork,Frameworks & Libraries,,FALSE,
K6 (JavaScript Load Testing),Frameworks & Libraries,,FALSE,
SignalR,Frameworks & Libraries,ADOPT,FALSE,
OpenID Connect,Frameworks & Libraries,ADOPT,FALSE,
DevExpress Controls,Frameworks & Libraries,HOLD,FALSE,
SQL Server,Datastore,ADOPT,FALSE,
SQL Lite,Datastore,ADOPT,FALSE,
MongoDB,Datastore,ADOPT,FALSE,
AWS Aurora,Datastore,TRIAL,FALSE,
ADO.NET,Datastore,ADOPT,FALSE,
Entity Framwork,Datastore,ADOPT,FALSE,
NHibernate,Datastore,ADOPT,FALSE,
Telerik Open Access ORM,Datastore,ADOPT,FALSE,
Dapper,Datastore,ASSESS,FALSE,
Azure AD,Platforms &Services,ADOPT,FALSE,
AWS Services,Platforms &Services,ADOPT,FALSE,
AWS CLI,Platforms &Services,ADOPT,FALSE,
Windows Services,Platforms &Services,ADOPT,FALSE,
IIS,Platforms &Services,ADOPT,FALSE,
Looker,Platforms &Services,ADOPT,FALSE,
RabbitMQ,Platforms &Services,ADOPT,FALSE,
AWS SQS,Platforms &Services,ADOPT,FALSE,
Apache Kafka,Platforms &Services,ADOPT,FALSE,
Redis/AWS Elastic Cache,Platforms &Services,ADOPT,FALSE,
